color_description,created_at,current_price,discount_amount,discount_percent,group_key,image_url,messaging,original_price,price,price_display,product_code,product_type,product_url,promo_display,promo_message,source_url,subtitle,target,title,badge
Smoke Grey,"Mon, 24 Nov 2025 15:11:57 GMT",28.97,15.03,34,kzZ2Pt,https://static.nike.com/a/images/t_default/98ffda05-8c89-4a1b-9e86-fb8c82fbac46/LBR+WOVEN+PANT.png,Extra 25% w/ BFRIDAY,44,$28.97,"$28.97 (was $44, 34% off)",76M211-M19,discount,https://www.nike.com/t/dri-fit-toddler-woven-pants-kzZ2Pt/76M211-M19,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Woven Pants,Nike Sale US,Nike Dri-FIT,
University Red,"Mon, 24 Nov 2025 15:11:57 GMT",33.97,10.03,22,kzZ2Pt,https://static.nike.com/a/images/t_default/1bd67a56-099d-4f8f-971c-3ced3053b416/LBR+WOVEN+PANT.png,Extra 25% w/ BFRIDAY,44,$33.97,"$33.97 (was $44, 22% off)",76M211-U10,discount,https://www.nike.com/t/dri-fit-toddler-woven-pants-kzZ2Pt/76M211-U10,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Woven Pants,Nike Sale US,Nike Dri-FIT,
Vintage Green,"Mon, 24 Nov 2025 15:11:52 GMT",52.97,12.03,18,T5jc4S,https://static.nike.com/a/images/t_default/079ec278-601b-4afc-b7f9-85f47e442b56/READYSET+CABLEKNIT+PANT+SE.png,Extra 25% w/ BFRIDAY,65,$52.97,"$52.97 (was $65, 18% off)",76M251-E6H,discount,https://www.nike.com/t/readyset-toddler-2-piece-striped-pants-set-T5jc4S/76M251-E6H,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Striped Pants Set,Nike Sale US,Nike ReadySet,
Smoke Grey,"Mon, 24 Nov 2025 15:12:28 GMT",24.97,3.03,10,7GnZ9R,https://static.nike.com/a/images/t_default/c17f075f-b9d2-4958-a66e-aa9d1e2d660a/B+NIKE+PRO+DF+TIGHT.png,Extra 25% w/ BFRIDAY,28,$24.97,"$24.97 (was $28, 10% off)",76M411-M19,discount,https://www.nike.com/t/dri-fit-pro-toddler-tights-7GnZ9R/76M411-M19,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Tights,Nike Sale US,Nike Dri-FIT Pro,
Black,"Mon, 24 Nov 2025 15:10:51 GMT",42.97,9.03,17,0jBjVC,https://static.nike.com/a/images/t_default/af519fbd-c166-4925-962a-2902439ef4f4/FULL+ZIP+SET+WITH+LOGO+TAP.png,Extra 25% w/ BFRIDAY,52,$42.97,"$42.97 (was $52, 17% off)",76M452-023,discount,https://www.nike.com/t/dri-fit-toddler-2-piece-full-zip-set-with-logo-taping-0jBjVC/76M452-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Full-Zip Set with Logo Taping,Nike Sale US,Nike Dri-FIT,
Dusty Cactus,"Mon, 24 Nov 2025 15:10:51 GMT",31.97,20.03,38,0jBjVC,https://static.nike.com/a/images/t_default/644c0bd0-26b8-45c5-9530-4646ceb31de5/NKN+FULL+ZIP+SET+WITH+LOGO+TAP.png,Extra 25% w/ BFRIDAY,52,$31.97,"$31.97 (was $52, 38% off)",76M452-BA2,discount,https://www.nike.com/t/dri-fit-toddler-2-piece-full-zip-set-with-logo-taping-0jBjVC/76M452-BA2,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Full-Zip Set with Logo Taping,Nike Sale US,Nike Dri-FIT,
Black,"Mon, 24 Nov 2025 15:11:32 GMT",13.97,6.03,30,DPhfy6gM,https://static.nike.com/a/images/t_default/96a414a0-7cdd-42ab-9dc7-3bcab8c748fb/B+NK+DF+LEGEND+SS+TEE.png,Extra 25% w/ BFRIDAY,20,$13.97,"$13.97 (was $20, 30% off)",76M494-023,discount,https://www.nike.com/t/dri-fit-toddler-legend-t-shirt-DPhfy6gM/76M494-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Legend T-Shirt,Nike Sale US,Nike Dri-FIT,
University Red,"Mon, 24 Nov 2025 15:11:32 GMT",15.97,4.03,20,DPhfy6gM,https://static.nike.com/a/images/t_default/5291889d-5998-4272-8fd8-95a566abe87b/B+NK+DF+LEGEND+SS+TEE.png,Extra 25% w/ BFRIDAY,20,$15.97,"$15.97 (was $20, 20% off)",76M494-U10,discount,https://www.nike.com/t/dri-fit-toddler-legend-t-shirt-DPhfy6gM/76M494-U10,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Legend T-Shirt,Nike Sale US,Nike Dri-FIT,
Denim Turquoise,"Mon, 24 Nov 2025 15:12:16 GMT",36.97,18.03,32,LqFKCf,https://static.nike.com/a/images/t_default/82fc8b51-b2fe-45b4-b5fb-ab767758c0e5/COZY+COMFORT+CREW+SET.png,Extra 25% w/ BFRIDAY,55,$36.97,"$36.97 (was $55, 32% off)",76M558-BKY,discount,https://www.nike.com/t/cozy-comfort-toddler-2-piece-crew-set-LqFKCf/76M558-BKY,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Crew Set,Nike Sale US,Nike Cozy Comfort,
Desert Dust,"Mon, 24 Nov 2025 15:12:16 GMT",44.97,10.03,18,LqFKCf,https://static.nike.com/a/images/t_default/b1673c32-7ac7-4fcf-a790-b95ac3877d40/COZY+COMFORT+CREW+SET.png,Extra 25% w/ BFRIDAY,55,$44.97,"$44.97 (was $55, 18% off)",76M558-JAK,discount,https://www.nike.com/t/cozy-comfort-toddler-2-piece-crew-set-LqFKCf/76M558-JAK,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Crew Set,Nike Sale US,Nike Cozy Comfort,
Sail,"Mon, 24 Nov 2025 15:12:34 GMT",30.97,19.03,38,ekUNnlyr,https://static.nike.com/a/images/t_default/e153d518-422b-4e2b-800e-b77f07f7c53b/NKN+READYSET+TEE+JOGGER+SET.png,Extra 25% w/ BFRIDAY,50,$30.97,"$30.97 (was $50, 38% off)",76M651-782,discount,https://www.nike.com/t/ready-set-toddler-tee-and-joggers-set-ekUNnlyr/76M651-782,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler Tee and Joggers Set,Nike Sale US,"Nike Ready, Set!",
Black,"Mon, 24 Nov 2025 15:11:23 GMT",68.97,31.03,31,sD1Egyiv,https://static.nike.com/a/images/t_default/cc6f0262-5a2f-4714-8c30-ba7976b61875/TECH+FLEECE+SHORT+SET.png,Extra 25% w/ BFRIDAY,100,$68.97,"$68.97 (was $100, 31% off)",76M680-023,discount,https://www.nike.com/t/tech-fleece-toddler-2-piece-shorts-set-sD1Egyiv/76M680-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Shorts Set,Nike Sale US,Nike Tech Fleece,
Dark Grey Heather,"Mon, 24 Nov 2025 15:11:23 GMT",80.97,19.03,19,sD1Egyiv,https://static.nike.com/a/images/t_default/64f54418-58c3-4766-a960-c6a8e8cf3945/TECH+FLEECE+SHORT+SET.png,Extra 25% w/ BFRIDAY,100,$80.97,"$80.97 (was $100, 19% off)",76M680-042,discount,https://www.nike.com/t/tech-fleece-toddler-2-piece-shorts-set-sD1Egyiv/76M680-042,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Toddler 2-Piece Shorts Set,Nike Sale US,Nike Tech Fleece,
White,"Mon, 24 Nov 2025 15:12:17 GMT",30.97,7.03,18,pU5RbZ2M,https://static.nike.com/a/images/t_default/8bbd9c42-2508-46cc-b845-c4c76ea2506a/NKB+NSW+OUTSIDE+LINES+FT+CREW.png,,38,$30.97,"$30.97 (was $38, 18% off)",76M684-001,discount,https://www.nike.com/t/sportswear-outside-the-lines-toddler-french-terry-crew-top-pU5RbZ2M/76M684-001,,,https://www.nike.com/w/sale-3yaep,Toddler French Terry Crew Top,Nike Sale US,"Nike Sportswear ""Outside the Lines""",
Parachute Beige,"Mon, 24 Nov 2025 15:12:17 GMT",35.97,8.03,18,49akVkpb,https://static.nike.com/a/images/t_default/9c30c967-6de2-464d-ae11-aa56fc8251f8/NKB+B+NSW+ON+THE+MOVE+AOP+FT+S.png,,44,$35.97,"$35.97 (was $44, 18% off)",76M723-X3E,discount,https://www.nike.com/t/sportswear-toddler-on-the-move-printed-tee-and-french-terry-shorts-set-49akVkpb/76M723-X3E,,,https://www.nike.com/w/sale-3yaep,Toddler On the Move Printed Tee and French Terry Shorts Set,Nike Sale US,Nike Sportswear,
